"country_name","YearlySalary","wage_span","median_salary","average_salary","lowest_salary","highest_salary"
"Guyana","8775.84","Monthly","731.32","841.26","211.75","3737.87"
"Haiti","5339.4","Monthly","444.95","506.2","127.66","2250.59"
"Honduras","12266.64","Monthly","1022.22","1139.39","287.27","5090.91"
"Hong Kong","51034.44","Monthly","4252.87","4687.1","1182.63","20817.37"
"Hungary","14729.52","Monthly","1227.46","1344.23","339.45","5974.36"
"Iceland","55934.399999999994","Monthly","4661.2","5049.03","1273.23","22464.51"
"India","3935.6400000000003","Monthly","327.97","384.43","97.07","1717.92"
"Indonesia","8146.92","Monthly","678.91","788.83","198.5","3504.47"
"Iran","11191.56","Monthly","932.63","1070.97","269.53","4770.47"
"Iraq","16588.56","Monthly","1382.38","1573.31","395.62","6988.25"
"Ireland","36253.68","Monthly","3021.14","3399.58","856.24","15151.16"
"Italy","41606.76","Monthly","3467.23","3868.92","972.52","17230.44"
"Jamaica","6789.36","Monthly","565.78","624.56","157.59","2777.24"
"Japan","37904.04","Monthly","3158.67","3453.12","869.97","15391.82"
"Jersey","69804.84","Monthly","5817.07","6304.88","1585.37","28048.78"
"Jordan","23356.800000000003","Monthly","1946.4","2284.91","578.28","10141.04"
"Kazakhstan","8412.0","Monthly","701.0","813.99","204.86","3620.08"
"Kenya","10359.48","Monthly","863.29","991.43","250.22","4424.36"
"Kiribati","26477.399999999998","Monthly","2206.45","2509.68","632.26","11161.29"
"Korea (North)","2306.709","Monthly","192.22575","216.67064","54.556555","963.35099"
"Korea (South)","31121.04","Monthly","2593.42","2889.81","728.38","12893.0"
"Kyrgyzstan","2422.44","Monthly","201.87","219.92","55.6","980.04"
"Laos","2477.04","Monthly","206.42","223.54","56.25","992.99"
"Latvia","19848.8724","Monthly","1654.0727","1952.1038","491.75135","8657.804"
"Lebanon","9039.960000000001","Monthly","753.33","873.33","219.33","3873.33"
"Lesotho","6486.48","Monthly","540.54","625.33","157.39","2776.89"
"Liberia","4012.68","Monthly","334.39","380.35","96.14","1690.44"
"Libya","5006.16","Monthly","417.18","470.35","118.61","2085.89"
"Liechtenstein","62688.479999999996","Monthly","5224.04","5825.14","1464.48","25901.64"
"Lithuania","10846.49592","Monthly","903.87466","997.90189","251.75032","4428.3792"
"Luxembourg","57209.28","Monthly","4767.44","5211.42","1310.78","23150.11"
"Macao","10275.119999999999","Monthly","856.26","928.13","234.2","4126.39"
"Macedonia","8124.0","Monthly","677.0","794.14","199.83","3531.44"
"Madagascar","3010.44","Monthly","250.87","290.48","73.28","1291.74"
"Malawi","1588.56","Monthly","132.38","151.69","38.24","674.79"
"Malaysia","14834.04","Monthly","1236.17","1406.38","355.32","6255.32"
"Maldives","13195.32","Monthly","1099.61","1241.91","313.07","5517.46"
"Mali","5742.96","Monthly","478.58","533.36","134.55","2368.71"
"Malta","53277.0","Monthly","4439.75","4904.86","1236.79","21775.9"
"Marshall Islands","24840.0","Monthly","2070","2260","570","10100"
"Martinique","35391.12","Monthly","2949.26","3192.39","803.38","14164.9"
"Mauritania","535.4765160000001","Monthly","44.623043","52.497697","13.203171","232.82729"
"Mauritius","10818.36","Monthly","901.53","1047.66","263.04","4653.78"
"Mayotte","28668.120000000003","Monthly","2389.01","2748.41","697.67","12262.16"
"Mexico","20183.64","Monthly","1681.97","1917.34","482.78","8495.98"
"Micronesia","15000.0","Monthly","1250","1410","360","6270"
"Moldova","15824.16","Monthly","1318.68","1467.03","370.33","6538.46"
"Monaco","49344.600000000006","Monthly","4112.05","4492.6","1374.21","18921.78"
"Mongolia","6189.12","Monthly","515.76","564.74","142.34","2509.62"
"Montenegro","31458.72","Monthly","2621.56","2832.98","718.82","12579.28"
"Montserrat","10311.119999999999","Monthly","859.26","1011.11","255.56","4481.48"
"Morocco","19610.88","Monthly","1634.24","1896.89","477.63","8433.85"
"Mozambique","6597.719999999999","Monthly","549.81","631.27","159.77","2803.88"
"Myanmar","2741.52","Monthly","228.46","260.35","65.68","1156.59"
"Namibia","9856.92","Monthly","821.41","927.4","233.7","4128.25"
"Nepal","6613.5599999999995","Monthly","551.13","608.2","153.18","2703.11"
"Netherlands","57082.44","Monthly","4756.87","5179.7","1427.06","22515.86"
"Netherlands Antilles","27217.92","Monthly","2268.16","2458.1","620.11","10893.85"
"New Caledonia","7971.599999999999","Monthly","664.3","779.45","196.63","3463.24"
"New Zealand","50356.92","Monthly","4196.41","4870.06","1227.54","21656.29"
"Nicaragua","5389.200000000001","Monthly","449.1","517.15","130.38","2299.95"
"Niger","5762.28","Monthly","480.19","547.87","137.93","2433.17"
"Nigeria","4678.200000000001","Monthly","389.85","438.91","110.63","1949.27"
"Northern Mariana Islands","21840.0","Monthly","1820","1990","500","8870"
"Norway","53040.240000000005","Monthly","4420.02","4786.34","1208.23","21281.57"
"Oman","47187.479999999996","Monthly","3932.29","4635.42","1171.88","20572.92"
"Pakistan","2944.08","Monthly","245.34","284.9","71.83","1266.61"
"Palau","28560.0","Monthly","2380","2740","690","12200"
"Palestine","18120.0","Monthly","1510","1710","430","7620"
"Panama","22680.0","Monthly","1890.0","2130.0","540.0","9460.0"
"Papua New Guinea","12131.52","Monthly","1010.96","1128.77","284.93","5013.7"
"Paraguay","12236.28","Monthly","1019.69","1126.17","283.93","5009.74"
"Peru","21910.32","Monthly","1825.86","1997.36","503.96","8891.82"
"Philippines","8745.36","Monthly","728.78","790.54","199.4","3511.56"
"Poland","17958.84","Monthly","1496.57","1736.84","437.07","7734.55"
"Portugal","30444.0","Monthly","2537.0","2917.55","739.96","13002.11"
"Puerto Rico","17796.0","Monthly","1483","1683","425","7491"
"Qatar","46153.8","Monthly","3846.15","4313.19","1090.66","19230.77"
"Reunion","23594.04","Monthly","1966.17","2198.73","549.68","9767.44"
"Romania","20878.44","Monthly","1739.87","1921.11","484.01","8550.11"
"Russia","11706.119999999999","Monthly","975.51","1065.68","268.47","4744.34"
"Rwanda","6304.68","Monthly","525.39","569.65","143.44","2532.68"
"Saint Kitts and Nevis","13111.079999999998","Monthly","1092.59","1259.26","318.52","5592.59"
"Saint Lucia","11066.64","Monthly","922.22","1048.15","262.96","4666.67"
"Saint Martin","37040.159999999996","Monthly","3086.68","3477.8","877.38","15433.4"
"Saint Vincent and the Grenadines","13733.28","Monthly","1144.44","1262.96","318.52","5629.63"
"Samoa","9703.92","Monthly","808.66","884.48","223.83","3935.02"
"San Marino","53403.84","Monthly","4450.32","4820.3","1215.64","21458.77"
"Sao Tome and Principe","3058.57956","Monthly","254.88163","298.78264","75.441552","1329.8172"
"Saudi Arabia","46080.0","Monthly","3840.0","4480.0","1128.0","19893.33"
"Senegal","5916.96","Monthly","493.08","565.59","142.77","2513.74"
"Serbia","13440.48","Monthly","1120.04","1273.6","320.66","5654.41"
"Seychelles","14957.28","Monthly","1246.44","1403.13","353.99","6246.44"
"Sierra Leone","2989.2","Monthly","249.1","277.75","69.92","1238.23"
"Singapore","67764.72","Monthly","5647.06","6235.29","1573.53","27720.59"
"Slovakia","25369.92","Monthly","2114.16","2315.01","581.4","10295.98"
"Slovenia","23213.52","Monthly","1934.46","2093.02","528.54","9302.33"
"Solomon Islands","7738.68","Monthly","644.89","756.53","191.21","3361.05"
"Somalia","4705.92","Monthly","392.16","455.19","114.85","2030.85"
"South Africa","17297.28","Monthly","1441.44","1658.72","417.59","7366.19"
"Spain","30951.36","Monthly","2579.28","2875.26","877.38","12050.74"
"Sri Lanka","2996.16","Monthly","249.68","278.41","70.14","1239.11"
"Sudan","811.3199999999999","Monthly","67.61","74.53","18.8","331.92"
"Suriname","1466.16","Monthly","122.18","133.57","33.65","592.8"
"Swaziland","2454.7200000000003","Monthly","204.56","239.53","60.41","1065.18"
"Sweden","42817.92","Monthly","3568.16","4144.56","1043.0","18389.75"
